Unnamed: 0,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
24,LARACE Women 3/4 Sleeve Tunic Top Loose Fit Flare T-Shirt,$15.99,0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04267032LMN1Z6IC5HIW&url=%2FLARACE-Women-Sleeve-T-Shirt-Deepskyblue%2Fdp%2FB074YJ1BMV%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dlightning%2Bdeals%26qid%3D1609292780%26sr%3D8-27-spons%26psc%3D1&qualifier=1609292780&id=6253079025082915&widgetName=sp_mtf,https://m.media-amazon.com/images/I/61CVa5L-EsL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
25,RockDove Men's Original Two-Tone Memory Foam Slipper,$22.99,$25.99,https://www.amazon.com/RockDove-Two-Tone-Memory-Slipper-11-12/dp/B01MR33P8B/ref=sr_1_28?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-28,https://m.media-amazon.com/images/I/71RHQ6B0LZL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
26,Hanes Men's Ecosmart Fleece Sweatshirt,$10.74,0,https://www.amazon.com/Hanes-EcoSmart-Fleece-Sweatshirt-Large/dp/B071GCRXCV/ref=sr_1_29?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-29,https://m.media-amazon.com/images/I/91crpv2PcsL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
27,Saucony Women's Performance Heel Tab Athletic Socks (8 & 16 Pairs),$25.00,0,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/dp/B07MRC3ZC2/ref=sr_1_30?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-30,https://m.media-amazon.com/images/I/91x8tpSy3TL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
28,iGENJUN Women's Long Sleeve Scoop Neck Button Side Sweater Tunic Dress,$21.99,0,https://www.amazon.com/iGENJUN-Womens-Sleeve-Button-Sweater/dp/B076Q5VJZQ/ref=sr_1_31?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-31,https://m.media-amazon.com/images/I/61lT7S68eUL._MCnd_SEARCH281250_AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
29,DIBAOLONG Womens Yoga Pants Wide Leg Comfy Drawstring Loose Straight Lounge Running Workout Legging,$18.99,$35.99,https://www.amazon.com/DIBAOLONG-Drawstring-Straight-Running-Workout/dp/B07X7DVBY3/ref=sr_1_32?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-32,https://m.media-amazon.com/images/I/51GqN9AfdHL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
30,Amazon Essentials Men's Regular-fit Cotton Pique Polo Shirt,$12.00,0,https://www.amazon.com/Amazon-Essentials-Regular-Fit-Cotton-X-Large/dp/B01IXFRBKU/ref=sr_1_33?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-33,https://m.media-amazon.com/images/I/91Lzcx9J9tL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
31,Bali Women's Comfort Revolution Wire Free Bra,$16.99,$44.00,https://www.amazon.com/Bali-Womens-Comfort-Revolution-White/dp/B00550PNLQ/ref=sr_1_34?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-34,https://m.media-amazon.com/images/I/81XYx5TbUfL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
32,Playtex Women's 18 Hour Original Comfort Strap Full Coverage Bra #4693,$16.99,$36.00,https://www.amazon.com/Playtex-Womens-Original-Comfort-4693/dp/B01M4R8CXC/ref=sr_1_35?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-35,https://m.media-amazon.com/images/I/918U9Yb3KHL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
33,Hanes Women's Jersey Full Zip Hoodie,$11.99,0,https://www.amazon.com/Hanes-Womens-Jersey-Hoodie-XX-Large/dp/B016YKLC92/ref=sr_1_36?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-36,https://m.media-amazon.com/images/I/81bO1PWtEUL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
34,"iPhone Charger, MFi Certified Lightning Cable 5Pack (3/3/3/6/10FT) Braided Nylon Fast Charger Cable Compatible Apple iPhone 11/Pro/Xs Max/X/8/7/Plus/6S/6/SE/5S/Air iPad/Mini/iPod (Gray)",$10.88,0,https://www.amazon.com/Charger-Certified-Lightning-Braided-Compatible/dp/B08LNHPVK8/ref=sr_1_37?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-37,https://m.media-amazon.com/images/I/81fsj7X1VfL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
35,Monopoly Deal Card Game,$7.99,0,https://www.amazon.com/Hasbro-B0965-Monopoly-Deal-Card/dp/B00NQQTZCO/ref=sr_1_38?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-38,https://m.media-amazon.com/images/I/91KOKqHaKpL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
36,"Apple iPad Air 2, 16 GB, Gold, (Renewed)",$285.95,0,https://www.amazon.com/Apple-iPad-Air-Gold-Refurbished/dp/B00TREI0JI/ref=sr_1_39?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-39,https://m.media-amazon.com/images/I/61AK3IeXApL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
37,"3-Pack iPhone Charger 10 ft,Extra Long Lightning Cable, MFi-Certified iPhone Charger Cable 10 Foot Charging Cord for iPhone 12 11 Pro X XS Max XR/8 Plus/7 Plus/6/6s Plus/5s /5c/iPad Mini Air (Gold)",$12.99,0,https://www.amazon.com/iPhone-Charger-Lightning-Cable-SMALLElectric/dp/B07RXVHKKV/ref=sr_1_40?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-40,https://m.media-amazon.com/images/I/61WXB0k00fL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
