,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
33,4 Canon KP-108IN 4x6 Color Ink / Paper Set for SELPHY CP1200 CP1300 Printer,117.99,239.99 ,https://www.ebay.com/itm/4-Canon-KP-108IN-4x6-Color-Ink-Paper-Set-for-SELPHY-CP1200-CP1300-Printer/191828218871,https://i.ebayimg.com/images/g/o2kAAOSweW5U~yOQ/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
34,HP DeskJet 2752 Wireless All-in-One Color Inkjet Printer,34.99,0,https://www.ebay.com/itm/HP-DeskJet-2752-Wireless-All-in-One-Color-Inkjet-Printer/393043709708,https://i.ebayimg.com/images/g/ZT0AAOSw5aVfyqoD/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
35,HP ENVY 6052 All-in-One Printer - New - Open OEM Box,44.99,0,https://www.ebay.com/itm/HP-ENVY-6052-All-in-One-Printer-New-Open-OEM-Box/393047457049,https://i.ebayimg.com/images/g/~akAAOSw-IRfzpd8/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
36,4'' HD 1080P 3 Lens Car DVR Dash Cam Vehicle Video Recorder Rearview Camera 170°,35.99,52.99 ,https://www.ebay.com/itm/4-HD-1080P-3-Lens-Car-DVR-Dash-Cam-Vehicle-Video-Recorder-Rearview-Camera-170/184366213035,https://i.ebayimg.com/images/g/~6gAAOSwehpfEF~z/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
37,"1080P Car Dashcam HD 3PM Video Cam Recorder with Night Vision 2.4"" LCD Screen",14.99,21.99 ,https://www.ebay.com/itm/1080P-Car-Dashcam-HD-3PM-Video-Cam-Recorder-with-Night-Vision-2-4-LCD-Screen/183964226064,https://i.ebayimg.com/images/g/nxUAAOSwnRZdhT9Z/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
38,Garmin DriveSmart 65 GPS Premium Navigator with Amazon Alexa,128.99,269.99 ,https://www.ebay.com/itm/Garmin-DriveSmart-65-GPS-Premium-Navigator-with-Amazon-Alexa/324252691185,https://i.ebayimg.com/images/g/uLsAAOSwCntfLFAp/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
39,Canon EF 70-200mm f/2.8L IS III USM Lens,"1,699.95","2,099.00 ",https://www.ebay.com/itm/Canon-EF-70-200mm-f-2-8L-IS-III-USM-Lens/223337672298,https://i.ebayimg.com/images/g/KeMAAOSwVAtcRk3y/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
40,Sony Sonnar T* FE 55mm f/1.8 ZA Carl Zeiss Lens SEL55F18Z - BRAND NEW,709.95,998.00 ,https://www.ebay.com/itm/Sony-Sonnar-T-FE-55mm-f-1-8-ZA-Carl-Zeiss-Lens-SEL55F18Z-BRAND-NEW/223289610156,https://i.ebayimg.com/images/g/424AAOSw1vxc0I~w/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
41,Sony FE 85mm f/1.4 GM Lens SEL85F14GM,"1,599.95","1,798.00 ",https://www.ebay.com/itm/Sony-FE-85mm-f-1-4-GM-Lens-SEL85F14GM/333224633907,https://i.ebayimg.com/images/g/Xf4AAOSw8YdeTC3y/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
42,"Sony ZX220BT Wireless On-Ear Bluetooth Headphones w/ Built-In Microphone, Black",34.99,95.00 ,https://www.ebay.com/itm/Sony-ZX220BT-Wireless-On-Ear-Bluetooth-Headphones-w-Built-In-Microphone-Black/233572680925,https://i.ebayimg.com/images/g/AaoAAOSwV7Zep7Us/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
43,TREBLAB FX100 Rugged Outdoor Speaker Wireless Portable with Built-in Power Bank,52.48,89.97 ,https://www.ebay.com/itm/TREBLAB-FX100-Rugged-Outdoor-Speaker-Wireless-Portable-with-Built-in-Power-Bank/273525334567,https://i.ebayimg.com/images/g/G7cAAOSwsaZf2mq5/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
44,5MP PoE IP Security Camera Outdoor Waterproof SD Card Slot Motion Detect RLC-410,34.99,49.99 ,https://www.ebay.com/itm/5MP-PoE-IP-Security-Camera-Outdoor-Waterproof-SD-Card-Slot-Motion-Detect-RLC-410/132706335563,https://i.ebayimg.com/images/g/pI0AAOSwphhfjTGW/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
45,Non-Slip Marble Design Mousepad Mouse Pad Desk Mat For Laptop Gaming Computer PC,4.95,6.99 ,https://www.ebay.com/itm/Non-Slip-Marble-Design-Mousepad-Mouse-Pad-Desk-Mat-For-Laptop-Gaming-Computer-PC/392109118332,https://i.ebayimg.com/images/g/3SEAAOSwOttc1SHY/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
46,Razer Ripsaw HD Game Capture Card 4K 1080P FHD (RZ20-02850100) Refurbished,119.99,159.99 ,https://www.ebay.com/itm/Razer-Ripsaw-HD-Game-Capture-Card-4K-1080P-FHD-RZ20-02850100-Refurbished/143843115243,https://i.ebayimg.com/images/g/6CUAAOSwCyZfpd6g/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
47,Razer Opus Active Noise Cancelling ANC Wireless Headphones Certified Refurbished,159.99,0,https://www.ebay.com/itm/Razer-Opus-Active-Noise-Cancelling-ANC-Wireless-Headphones-Certified-Refurbished/143856833528,https://i.ebayimg.com/images/g/PCEAAOSwS1pfuV55/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
48,TREBLAB X5 Sports Bluetooth Earbuds True Wireless Stereo Headphones for Running,69.97,0,https://www.ebay.com/itm/TREBLAB-X5-Sports-Bluetooth-Earbuds-True-Wireless-Stereo-Headphones-for-Running/273261655701,https://i.ebayimg.com/images/g/TqgAAOSwCtxfPbCI/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
49,For Apple iPhone XS Max/XR/XS/X/8/7 6s Plus Tough Shockproof Armor Hybrid Case,6.49,49.99 ,https://www.ebay.com/itm/For-Apple-iPhone-XS-Max-XR-XS-X-8-7-6s-Plus-Tough-Shockproof-Armor-Hybrid-Case/400918113149,https://i.ebayimg.com/images/g/LjQAAOSwDFBaFj5P/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
50,Samsung Galaxy S8 SM-G950U 64GB Factory Unlocked Android Smartphone,179.99,720.00 ,https://www.ebay.com/itm/Samsung-Galaxy-S8-SM-G950U-64GB-Factory-Unlocked-Android-Smartphone/253756799831,https://i.ebayimg.com/images/g/I4UAAOSw~9hdi8fj/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
51,Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300,414.99,499.00 ,https://www.ebay.com/itm/Intel-Core-i9-9900K-Desktop-Processor-8-Cores-up-to-5-0GHz-Unlocked-LGA1151-300/303659514644,https://i.ebayimg.com/images/g/gy0AAOSwTB1fPXj1/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
52,Non-Slip Marble Design Mousepad Mouse Pad Desk Mat For Laptop Gaming Computer PC,4.95,6.99 ,https://www.ebay.com/itm/Non-Slip-Marble-Design-Mousepad-Mouse-Pad-Desk-Mat-For-Laptop-Gaming-Computer-PC/392109118332,https://i.ebayimg.com/images/g/3SEAAOSwOttc1SHY/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
53,Razer Kraken X Lite Ultra Light RZ04-02890100 Certified Refurbished,49.99,0,https://www.ebay.com/itm/Razer-Kraken-X-Lite-Ultra-Light-RZ04-02890100-Certified-Refurbished/143842838588,https://i.ebayimg.com/images/g/vn0AAOSwwpZfCSKc/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
